unique_id	name	url_detail	description_short	created_date
77	"Mill Rose"	https://www.triadtechnologies.com/mill-rose		"2022-02-08 17:47:27"
78	Pfannenberg	https://www.triadtechnologies.com/pfannenberg		"2022-02-08 18:24:44"
79	Schmalz	https://www.triadtechnologies.com/schmalz		"2022-02-08 20:12:34"
80	Schlegel	https://www.triadtechnologies.com/schlegel		"2022-02-09 15:58:36"
81	"Spectre Corporation"	https://www.triadtechnologies.com/spectre		"2022-02-09 20:11:35"
83	Pyromation	https://www.triadtechnologies.com/pyromation		"2022-02-15 19:23:17"
84	Wieland	https://www.triadtechnologies.com/wieland		"2022-02-22 13:58:19"
85	Tri-Tronics	https://www.triadtechnologies.com/tri-tronics		"2022-02-22 15:56:46"
86	"Sprecher + schuh"	https://www.triadtechnologies.com/sprecherschuh		"2022-03-03 20:57:09"
87	"TR Electronic"	https://www.triadtechnologies.com/tr-electronic		"2022-03-14 20:08:42"
88	Suttner	https://www.triadtechnologies.com/suttner		"2022-03-14 20:38:11"
89	Flexaust	https://www.triadtechnologies.com/flexaust		"2022-03-23 17:52:46"
90	Techna	https://www.triadtechnologies.com/techna		"2022-03-27 22:22:49"
93	"Contact Us"	https://www.triadtechnologies.com/contact-us		"2022-05-08 13:37:24"
94	Werma	https://www.triadtechnologies.com/werma		"2022-07-01 13:52:07"
95	"Request A Quote"	https://www.triadtechnologies.com/request-a-quote		"2022-07-25 08:47:22"
96	Magnaloy	https://www.triadtechnologies.com/magnaloy		"2022-08-27 01:32:09"
97	"Duo Employees"	https://www.triadtechnologies.com/duo-employees		"2022-09-01 18:57:09"
98	"Binder USA"	https://www.triadtechnologies.com/binder-usa		"2022-10-27 16:11:59"
99	Dongan	https://www.triadtechnologies.com/dongan		"2022-11-22 14:39:46"
100	"Hauber Elektronik"	https://www.triadtechnologies.com/hauber-elektronik		"2022-11-22 17:00:01"
101	Bircher	https://www.triadtechnologies.com/bircher		"2022-11-30 21:28:52"
102	"Parker Config"	https://www.triadtechnologies.com/parkerconfigtest	"Parker Config Test"	"2023-02-03 16:48:44"
104	testing	https://www.triadtechnologies.com/testing		"2023-05-26 17:03:52"
107	Returns	https://www.triadtechnologies.com/returns-policy		"2024-02-07 14:47:27"
108	"HubSpot Test"	https://www.triadtechnologies.com/testpagehubspot		"2024-08-13 17:17:33"
